City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Chokurdakh,70.6333,147.9167,62.76,42,100,14.65,RU,1627685961
Merauke,-8.4667,140.3333,74.03,95,100,7.83,ID,1627685723
Port Elizabeth,-33.918,25.5701,50.29,93,0,5.75,ZA,1627685936
Noumea,-22.2763,166.4572,72.0,99,9,15.75,NC,1627685968
Bengkulu,-3.8004,102.2655,74.41,91,24,5.21,ID,1627685970
Castro,-24.7911,-50.0119,39.42,70,98,5.53,BR,1627685902
Hong Kong,22.2855,114.1577,84.38,91,85,8.99,HK,1627685974
Puerto Ayora,-0.7393,-90.3518,75.16,95,68,4.0,EC,1627685879
Hilo,19.7297,-155.09,82.11,78,66,3.0,US,1627685882
Christchurch,-43.5333,172.6333,55.99,84,40,8.01,NZ,1627685927
Vaini,-21.2,-175.2,73.56,94,90,4.61,TO,1627685982
Chui,-33.6971,-53.4616,45.37,76,0,6.38,UY,1627685985
Eureka,40.8021,-124.1637,70.12,72,69,3.0,US,1627685987
New Norfolk,-42.7826,147.0587,54.9,75,85,1.99,AU,1627685989
Punta Arenas,-53.15,-70.9167,37.51,75,75,8.05,CL,1627685992
Albany,42.6001,-73.9662,70.57,55,20,4.0,US,1627685760
Lebu,-37.6167,-73.65,50.07,92,99,14.25,CL,1627685996
Butaritari,3.0707,172.7902,81.23,76,96,8.32,KI,1627685916
Aasiaat,68.7098,-52.8699,41.29,81,55,4.88,GL,1627686000
Deputatsky,69.3,139.9,63.37,35,76,12.86,RU,1627686010
Matara,5.9485,80.5353,78.24,87,63,11.81,LK,1627685767
Karratha,-20.7377,116.8463,66.58,72,69,9.57,AU,1627685824
Jamestown,42.097,-79.2353,68.72,58,1,4.0,US,1627685837
Hermanus,-34.4187,19.2345,52.9,84,0,2.64,ZA,1627685867
Malatya Province,38.5,38.0,71.65,38,0,6.91,TR,1627686021
Hobart,-42.8794,147.3294,55.26,76,75,1.99,AU,1627685876
Barsovo,61.1667,73.1667,51.93,84,100,5.57,RU,1627686025
Nouakchott,18.0858,-15.9785,75.13,76,5,17.13,MR,1627686028
